iter	Passed	Remaining
397	32392	48995
398	32476	48918
399	32549	48824
400	32627	48737
401	32716	48668
402	32800	48589
403	32872	48495
404	32938	48390
405	33013	48299
406	33083	48202
407	33153	48105
408	33229	48015
409	33305	47926
410	33387	47847
411	33473	47772
412	33552	47688
413	33645	47624
414	33730	47548
415	33800	47450
416	33882	47370
417	33962	47287
418	34041	47202
419	34120	47118
420	34182	47011
421	34250	46911
422	34338	46840
423	34408	46743
424	34489	46661
425	34566	46574
426	34646	46492
427	34730	46415
428	34801	46321
429	34872	46226
430	34958	46152
431	35058	46095
432	35122	45992
433	35197	45903
434	35268	45808
435	35335	45709
436	35418	45631
437	35501	45551
438	35573	45459
439	35641	45361
440	35717	45275
441	35794	45188
442	35876	45108
443	35957	45027
444	36037	44945
445	36137	44888
446	36213	44800
447	36293	44718
448	36376	44640
449	36468	44572
450	36534	44472
451	36620	44398
452	36708	44325
453	36766	44216
454	36843	44131
455	36923	44048
456	37015	43981
457	37087	43889
458	37156	43794
459	37220	43693
460	37291	43601
461	37353	43498
462	37428	43410
463	37517	43338
464	37590	43249
465	37678	43176
466	37753	43089
467	37834	43008
468	37906	42917
469	37986	42835
470	38058	42745
471	38130	42654
472	38205	42567
473	38280	42480
474	38376	42416
475	38437	42313
476	38506	42219
477	38584	42136
478	38655	42045
479	38732	41959
480	38798	41863
481	38890	41795
482	38958	41700
483	39040	41621
484	39113	41533
485	39198	41457
486	39278	41375
487	39385	41321
488	39462	41237
489	39536	41150
490	39612	41064
491	39698	40989
492	39771	40901
493	39841	40809
494	39930	40736
495	40006	40651
496	40077	40561
497	40154	40477
498	40239	40400
499	40316	40316
500	40385	40223
501	40472	40149
502	40539	40056
503	40626	39981
504	40710	39904
505	40799	39832
506	40869	39740
507	40950	39661
508	41028	39577
509	41105	39493
510	41182	39409
511	41253	39320
512	41324	39230
513	41411	39156
514	41494	39077
515	41571	38993
516	41653	38914
517	41752	38850
518	41813	38752
519	41896	38673
520	41986	38601
521	42069	38523
522	42134	38428
523	42205	38339
524	42287	38260
525	42368	38180
526	42452	38102
527	42526	38015
528	42600	37930
529	42676	37845
530	42748	37757
531	42823	37671
532	42888	37577
533	42987	37513
534	43069	37434
535	43170	37371
536	43251	37291
537	43355	37231
538	43429	37144
539	43496	37052
540	43586	36979
541	43645	36881
542	43736	36809
543	43810	36723
544	43896	36647
545	43972	36563
546	44048	36479
547	44113	36385
548	44183	36296
549	44262	36214
550	44353	36143
551	44434	36062
552	44517	35983
553	44601	35906
554	44699	35840
555	44777	35757
556	44850	35671
557	44930	35590
558	45002	35502
559	45077	35418
560	45156	35336
561	45221	35243
562	45294	35157
563	45365	35069
564	45458	34998
565	45525	34908
566	45599	34823
567	45682	34744
568	45785	34681
569	45874	34606
570	45963	34532
571	46043	34451
572	46124	34372
573	46193	34283
574	46262	34193
575	46335	34108
576	46413	34025
577	46484	33938
578	46561	33855
579	46647	33779
580	46721	33694
581	46803	33614
582	46881	33532
583	46979	33464
584	47070	33391
585	47159	33317
586	47246	33241
587	47315	33152
588	47385	33065
589	47459	32980
590	47528	32892
591	47595	32802
592	47656	32708
593	47739	32630
594	47809	32542
595	47873	32451
596	47945	32365
597	48018	32279
598	48092	32195
599	48168	32112
600	48220	32013
601	48293	31928
602	48358	31837
603	48442	31760
604	48524	31681
605	48607	31602
606	48687	31522
607	48775	31447
608	48840	31357
609	48926	31280
610	48995	31193
611	49063	31105
612	49129	31016
613	49203	30932
614	49274	30846
615	49348	30762
616	49425	30680
617	49491	30591
618	49558	30503
619	49635	30421
620	49706	30336
621	49800	30264
622	49881	30184
623	49951	30098
624	50021	30012
625	50088	29924
626	50170	29846
627	50242	29761
628	50322	29681
629	50395	29597
630	50478	29519
631	50559	29439
632	50635	29357
633	50704	29271
634	50767	29181
635	50850	29103
636	50920	29017
637	50983	28928
638	51059	28845
639	51123	28756
640	51212	28681
641	51285	28598
642	51351	28510
643	51431	28430
644	51500	28345
645	51576	28263
646	51648	28179
647	51721	28095
648	51792	28010
649	51863	27926
650	51940	27845
651	52017	27764
652	52093	27682
653	52167	27599
654	52240	27516
655	52315	27433
656	52388	27350
657	52460	27266
658	52542	27188
659	52614	27104
660	52693	27024
661	52764	26940
662	52839	26858
663	52910	26773
664	52980	26689
665	53051	26605
666	53127	26524
667	53198	26440
668	53264	26353
669	53327	26265
670	53400	26182
671	53477	26101
672	53546	26017
673	53624	25936
674	53691	25851
675	53758	25765
676	53819	25677
677	53875	25586
678	53929	25495
679	53990	25407
680	54047	25317
681	54115	25232
682	54176	25144
683	54225	25051
684	54279	24960
685	54329	24867
686	54377	24774
687	54423	24680
688	54478	24590
689	54533	24500
690	54580	24407
691	54635	24317
692	54685	24225
693	54740	24136
694	54786	24043
695	54832	23949
696	54886	23860
697	54938	23769
698	54989	23679
699	55052	23593
700	55097	23500
701	55153	23412
702	55207	23324
703	55268	23237
704	55319	23147
705	55375	23060
706	55430	22971
707	55479	22881
708	55525	22789
709	55573	22699
710	55616	22606
711	55661	22514
712	55709	22424
713	55755	22333
714	55801	22242
715	55844	22150
716	55885	22058
717	55930	21967
718	55969	21874
719	56014	21783
720	56054	21690
721	56098	21600
722	56136	21507
723	56178	21415
724	56222	21325
725	56266	21235
726	56307	21144
727	56353	21055
728	56396	20965
729	56440	20875
730	56484	20785
731	56526	20695
732	56570	20606
733	56616	20517
734	56660	20428
735	56702	20339
736	56742	20248
737	56785	20159
738	56827	20070
739	56872	19982
740	56916	19893
741	56956	19804
742	57000	19716
743	57046	19628
744	57091	19541
745	57134	19453
746	57177	19365
747	57220	19277
748	57265	19190
749	57310	19103
750	57353	19016
751	57395	18928
752	57433	18839
753	57480	18753
754	57521	18666
755	57561	18578
756	57605	18491
757	57647	18404
758	57688	18317
759	57731	18231
760	57776	18145
761	57819	18059
762	57858	17971
763	57904	17886
764	57951	17801
765	57992	17715
766	58031	17628
767	58076	17543
768	58117	17458
769	58161	17372
770	58199	17286
771	58240	17200
772	58284	17115
773	58326	17030
774	58367	16945
775	58412	16861
776	58457	16777
777	58495	16691
778	58540	16607
779	58584	16523
780	58625	16439
781	58672	16356
782	58713	16271
783	58750	16186
784	58790	16101
785	58840	16020
786	58878	15935
787	58916	15850
788	58958	15767
789	59000	15683
790	59047	15601
791	59094	15519
792	59132	15435
793	59174	15352
794	59212	15268
795	59258	15186
796	59305	15105
797	59343	15021
798	59390	14940
799	59434	14858
800	59477	14776
801	59518	14694
802	59559	14611
803	59602	14529
804	59648	14448
805	59690	14367
806	59729	14284
807	59766	14201
808	59805	14119
809	59846	14038
810	59890	13957
811	59937	13877
812	59981	13796
813	60025	13715
814	60065	13634
815	60109	13554
816	60149	13472
817	60194	13392
818	60235	13312
819	60278	13231
820	60321	13151
821	60364	13071
822	60409	12992
823	60453	12912
824	60492	12831
825	60530	12751
826	60570	12670
827	60613	12591
828	60655	12511
829	60694	12431
830	60734	12351
831	60772	12271
832	60819	12193
833	60866	12114
834	60904	12035
835	60944	11955
836	60990	11877
837	61029	11798
838	61071	11719
839	61117	11641
840	61159	11562
841	61202	11484
842	61243	11405
843	61284	11327
844	61333	11250
845	61376	11172
846	61421	11095
847	61462	11016
848	61503	10938
849	61551	10861
850	61593	10784
851	61638	10707
852	61680	10629
853	61723	10552
854	61770	10475
855	61814	10398
856	61854	10321
857	61896	10243
858	61939	10166
859	61983	10090
860	62027	10013
861	62064	9936
862	62101	9858
863	62145	9782
864	62191	9706
865	62232	9629
866	62275	9553
867	62321	9477
868	62361	9400
869	62403	9324
870	62446	9248
871	62488	9172
872	62530	9096
873	62571	9020
874	62613	8944
875	62654	8868
876	62696	8793
877	62736	8717
878	62774	8641
879	62814	8565
880	62852	8489
881	62894	8414
882	62940	8339
883	62983	8264
884	63024	8189
885	63068	8114
886	63113	8040
887	63156	7965
888	63193	7890
889	63231	7815
890	63273	7740
891	63315	7665
892	63357	7591
893	63398	7517
894	63439	7442
895	63480	7368
896	63523	7294
897	63562	7219
898	63608	7146
899	63651	7072
900	63689	6998
901	63725	6923
902	63767	6849
903	63809	6776
904	63852	6702
905	63894	6629
906	63938	6555
907	63981	6482
908	64025	6409
909	64071	6336
910	64109	6263
911	64150	6189
912	64194	6117
913	64233	6043
914	64278	5971
915	64323	5898
916	64362	5825
917	64396	5752
918	64438	5679
919	64480	5606
920	64522	5534
921	64562	5461
922	64602	5389
923	64646	5317
924	64685	5244
925	64731	5172
926	64776	5101
927	64818	5028
928	64860	4957
929	64903	4885
930	64940	4812
931	64978	4740
932	65022	4669
933	65071	4598
934	65114	4526
935	65151	4454
936	65192	4383
937	65230	4311
938	65267	4239
939	65306	4168
940	65344	4097
941	65385	4025
942	65424	3954
943	65466	3883
944	65503	3812
945	65537	3741
946	65571	3669
947	65604	3598
948	65639	3527
949	65672	3456
950	65710	3385
951	65744	3314
952	65784	3244
953	65817	3173
954	65848	3102
955	65883	3032
956	65918	2961
957	65954	2891
958	65987	2821
959	66024	2751
960	66056	2680
961	66088	2610
962	66126	2540
963	66158	2470
964	66193	2400
965	66226	2330
966	66260	2261
967	66293	2191
968	66324	2121
969	66356	2052
970	66392	1982
971	66432	1913
972	66466	1844
973	66500	1775
974	66535	1706
975	66568	1636
976	66604	1567
977	66637	1499
978	66670	1430
979	66703	1361
980	66738	1292
981	66773	1223
982	66808	1155
983	66843	1086
984	66874	1018
985	66908	950
986	66942	881
987	66977	813
988	67014	745
989	67048	677
990	67083	609
991	67118	541
992	67143	473
993	67167	405
994	67189	337
995	67206	269
996	67224	202
997	67241	134
998	67257	67
999	67273	0
