iter	Logloss
0	0.6761789022
1	0.660205296222	0.6470147913
3	0.635893443
4	0.6243756201
5	0.6152929718
6	0.6072441561
7	0.5999159269
8	0.5935627173
9	0.5877833788
10	0.5820828381
11	0.5776866838
12	0.572269135
13	0.5659297211
14	0.5624521134
15	0.5569935786
16	0.5528254816
17	0.5486339471
1818	0.54673359519	0.5423899883
20	0.5401639743
2121	0.5384607382222	0.5366313802323	0.533919644224	0.5318382776225	0.5301561822226	0.5280481606227	0.5258790718228	0.52343065
29	0.5222406006
30	0.520424126
31	0.5184317785
32	0.5167195267
33	0.5153637356
34	0.5137148779
35	0.5119076187
36	0.5090950781
37	0.5081852556
38	0.5067487617
39	0.5053600835
40	0.5033811248
41	0.5017235823
42	0.5006015366
43	0.4990654181
44	0.4981099775
45	0.4966476344
46	0.4945379701
47	0.493368548	048	0.4914032056
49	0.4900923627
50	0.4885729021
51	0.4871853731
52	0.4858925217
53	0.4851207309
54	0.4841343431
55	0.4826036654
56	0.4810945421
57	0.4800765209558	0.4788792933559	0.4777083419660	0.4761657752661	0.4753394107662	0.473963	0.4663	0.473064	0.64	0.47173865	0.65	0.470757981
66	0.4702427346
67	0.4692330195
68	0.4680588275
69	0.466102228
70	0.4649599338
71	0.4640300174
72	0.4630779575
73	0.4620305414
74	0.4612632403
75	0.4604788828776	0.4598486654
77	0.4590039799778	0.4576568407779	0.4569995944880	0.4563535409881	0.4557842851882	0.4550333586883	0.4532166069884	0.4513400041885	0.4507086867886	0.4502389915887	0.4490672145888	0.4480180624889	0.4476129229090	0.447139322991	0.446150102
92	0.4443065049393	0.44290629494	0.4446145588
95	0.4436392771
96	0.4432124975
97	0.442810848
98	0.4423620184
99	0.4417093609
100	0.4409386252
101	0.44062781
102	0.440067377
103	0.4383116458
104	0.4373609294
105	0.4368186717
106	0.4362085934
107	0.4356636347
108	0.434718818
109	0.4342600567
110	0.4329598358
111	0.4318083228
112	0.4315019221
113	0.4305134553
114	0.4300449381
115	0.4297237936
116	0.4293096393
117	0.4288744496
118	0.4284169252
119	0.4275162381
120	0.4269902243
121	0.4256368199
122	0.4252594087
123	0.4241262465
124	0.4237353613
125	0.4235141381
126	0.422743913
127	0.4224320706
128	0.4220177469
129	0.4217700792
130	0.4212773181
131	0.4206671918
132	0.4203487536
133	0.4198698792
134	0.4190876722
135	0.4185671099
136	0.4174818157
137	0.4171229001
138	0.4167297074
139	0.4160463173
140140	0.41610558141141	0.41564727142142	0.41444993143143	0.41366762144144	0.41340619145145	0.41302616146146	0.41244767147147	0.41209717148148	0.41153538149149	0.41109465150150	0.4103903151	151	0.4100024152	152	0.4096268153	153	0.4087392154	154	0.408248151
155	0.4079499156	156	0.4076794485
157	0.407505889
158	0.4067931696
